Year,GDP,Males University Grad,Males: Education University Grad,Males: Applied Arts University Grad,Males: Humanities & Social Sciences University Grad,Males: Mass Communication & Information Science University Grad,Males: Accountancy University Grad,Males: Business & Administration University Grad,Males: Law University Grad,Males: Natural & Mathematical Sciences University Grad,Males: Medicine University Grad,Males: Dentistry University Grad,Males: Health Sciences University Grad,Males: Information Technology University Grad,"Males: Architecture, Building & Real Estate University Grad",Males: Engineering Sciences University Grad,Males: Services University Grad,Females University Grad,Females: Education University Grad,Females: Applied Arts University Grad,Females: Humanities & Social Sciences University Grad,Females: Mass Communication & Information Science University Grad,Females: Accountancy University Grad,Females: Business & Administration University Grad,Females: Law University Grad,Females: Natural & Mathematical Sciences University Grad,Females: Medicine University Grad,Females: Dentistry University Grad,Females: Health Sciences University Grad,Females: Information Technology University Grad,"Females: Architecture, Building & Real Estate University Grad",Females: Engineering Sciences University Grad,Females: Services University Grad,Education University Grad,Applied Arts University Grad,Humanities & Social Sciences University Grad,Mass Communication & Information Science University Grad,Accountancy University Grad,Business & Administration University Grad,Law University Grad,Natural & Mathematical Sciences University Grad,Medicine University Grad,Dentistry University Grad,Health Sciences University Grad,Information Technology University Grad,"Architecture, Building & Real Estate University Grad",Engineering Sciences University Grad,Services University Grad,Total University Grad,Males Polytechnic Grad,Males: Education Polytechnic Grad,Males: Applied Arts Polytechnic Grad,Males: Humanities & Social Sciences Polytechnic Grad,Males: Mass Communication & Information Science Polytechnic Grad,Males: Business & Administration Polytechnic Grad,Males: Legal Studies Polytechnic Grad,Males: Science & Related Technologies Polytechnic Grad,Males: Health Sciences Polytechnic Grad,Males: Information Technology Polytechnic Grad,"Males: Architecture, Building & Real Estate Polytechnic Grad",Males: Engineering Sciences Polytechnic Grad,Males: Services Polytechnic Grad,Females Polytechnic Grad,Females: Education Polytechnic Grad,Females: Applied Arts Polytechnic Grad,Females: Humanities & Social Sciences Polytechnic Grad,Females: Mass Communication & Information Science Polytechnic Grad,Females: Business & Administration Polytechnic Grad,Females: Legal Studies Polytechnic Grad,Females: Science & Related Technologies Polytechnic Grad,Females: Health Sciences Polytechnic Grad,Females: Information Technology Polytechnic Grad,"Females: Architecture, Building & Real Estate Polytechnic Grad",Females: Engineering Sciences Polytechnic Grad,Females: Services Polytechnic Grad,Education Polytechnic Grad,Applied Arts Polytechnic Grad,Humanities & Social Sciences Polytechnic Grad,Mass Communication & Information Science Polytechnic Grad,Business & Administration Polytechnic Grad,Legal Studies Polytechnic Grad,Science & Related Technologies Polytechnic Grad,Health Sciences Polytechnic Grad,Information Technology Polytechnic Grad,"Architecture, Building & Real Estate Polytechnic Grad",Engineering Sciences Polytechnic Grad,Services Polytechnic Grad,Total Polytechnic Grad,TOTAL,MANUFACTURING,"Food, Beverages & Tobacco",Paper Products & Printing,"Petroleum, Chemical & Pharmaceutical Products",Rubber & Plastic Products,Fabricated Metal Products,Machinery & Equipment,Electrical Products,Electronic Products,Medical & Precision Instruments,Transport Equipment,Other Manufacturing Industries,CONSTRUCTION,SERVICES PRODUCING INDUSTRIES,WHOLESALE AND RETAIL TRADE,Wholesale Trade,Retail Trade,TRANSPORT AND STORAGE,Land Transport & Supporting Services,Water Transport & Supporting Services,Air Transport & Supporting Services,Other Transport & Storage Services,HOTELS AND RESTAURANTS,Hotels,Restaurants,INFORMATION AND COMMUNICATIONS,Broadcasting & Publishing,Telecommunications,IT & other Information Services,FINANCIAL SERVICES,Financial Institutions,Insurance,REAL ESTATE AND LEASING SERVICES,PROFESSIONAL SERVICES,"Legal, Accounting & Management Services",Architectural & Engineering Services,Other Professional Services,ADMINISTRATIVE AND SUPPORT SERVICES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",Education,"Health, Social & Community Services","Other Community, Social & Personal Services",OTHERS**,"Government expenditure on education, total (% of GDP)",Government expenditure on education (SGD)
2000.0,96076521349.0,4536,35.0,,574,34.0,250,328,74,378,119,17,11,348,101,2267,,4870,115.0,,1452,80.0,495,851,79,655,37,15,30,187,192,682,,150,0,2026,114,745,1179,153,1033,156,32,41,535,293,2949,0,9406,8182,0.0,191,0,53,832,29,113,83,904,308,5525,144,6891,0,211,0,184,2474,71,262,488,576,310,2279,36,0.0,402,0,237,3306,100,375,571,1480,618,7804,180,15073,2.7,2.8,1.6,2.1,1.5,3.9,2.4,2.9,2.2,3.1,3.6,2.7,3.1,1.0,3.2,2.5,2.2,3.3,3.1,2.9,4.3,4.1,1.3,3.2,4.6,2.4,5.2,5.4,5.0,5.3,3.3,3.2,3.4,2.7,2.8,2.6,2.9,3.3,4.0,3.7,2.1,4.9,2.9,2.6,3.32130003,3190989532.387294
2001.0,89793815728.0,4735,63.0,,534,39.0,257,403,58,358,97,19,17,249,124,2517,,5124,147.0,,1520,77.0,484,807,96,754,42,16,46,133,199,803,,210,0,2054,116,741,1210,154,1112,139,35,63,382,323,3320,0,9859,8545,0.0,213,0,54,861,19,135,126,1193,282,5462,200,7421,0,248,0,143,2426,66,338,581,756,272,2549,42,0.0,461,0,197,3287,85,473,707,1949,554,8011,242,15966,1.5,1.2,0.9,1.1,1.0,0.8,1.0,1.2,0.9,0.7,1.5,2.9,1.3,0.6,2.0,1.3,1.0,2.1,2.6,1.8,3.8,4.0,0.7,2.5,4.0,1.5,1.9,2.2,1.4,1.9,2.3,2.3,2.2,1.7,1.1,0.9,0.9,2.1,2.9,2.1,1.1,2.7,1.8,2.6,3.542490005,3180936947.272518
2002.0,92538355643.0,4858,63.0,,591,30.0,226,318,73,276,122,23,20,365,134,2617,,5354,163.0,,1609,91.0,541,751,77,699,60,11,49,199,224,880,,226,0,2200,121,767,1069,150,975,182,34,69,564,358,3497,0,10212,8914,3.0,234,0,45,904,54,121,92,1455,225,5573,208,7671,79,253,0,150,2438,100,344,608,910,279,2465,45,82.0,487,0,195,3342,154,465,700,2365,504,8038,253,16585,1.5,1.6,1.7,0.8,1.1,2.1,1.8,1.1,1.1,1.4,1.2,2.5,1.7,0.5,1.6,1.1,0.9,1.8,2.6,1.3,3.6,4.2,0.8,2.1,3.1,1.6,1.4,2.7,0.8,1.3,0.8,0.8,1.1,1.6,1.0,0.9,0.8,1.3,1.7,1.7,1.1,2.1,1.6,3.4,3.878530025,3589127908.255037
2003.0,97646382413.0,5197,97.0,11.0,456,33.0,222,284,59,371,128,21,15,377,175,2948,,5166,264.0,10.0,1152,82.0,524,693,81,742,66,11,48,242,235,1016,,361,21,1608,115,746,977,140,1113,194,32,63,619,410,3964,0,10363,8556,5.0,254,0,66,946,38,129,100,1603,171,5000,244,7561,99,241,0,142,2489,78,334,577,1015,300,2242,44,104.0,495,0,208,3435,116,463,677,2618,471,7242,288,16117,1.2,1.3,1.2,0.7,0.7,1.9,1.3,1.1,0.5,1.2,1.4,1.8,2.5,0.4,1.3,0.9,0.8,1.2,2.0,1.0,3.5,2.8,0.5,1.7,2.9,1.1,1.5,1.3,0.9,1.9,0.9,0.9,1.4,0.8,0.8,0.8,0.8,0.9,1.3,1.5,1.2,1.7,1.6,2.3,3.981940031,3888220390.126591
2004.0,115034000000.0,5246,76.0,11.0,383,34.0,234,325,56,409,122,14,11,412,137,3022,,5299,336.0,14.0,993,109.0,387,742,91,781,77,18,78,309,185,1179,,412,25,1376,143,621,1067,147,1190,199,32,89,721,322,4201,0,10545,9537,4.0,243,0,93,896,23,214,127,1974,158,5580,225,8300,103,278,0,257,2408,104,323,725,1345,312,2385,60,107.0,521,0,350,3304,127,537,852,3319,470,7965,285,17837,1.6,1.7,1.3,1.3,1.1,2.2,1.4,1.9,0.6,1.7,2.0,1.9,1.5,0.5,1.7,1.1,1.0,1.5,2.3,0.9,3.9,3.1,0.8,2.5,3.2,2.2,1.8,1.9,1.2,2.2,1.2,1.3,1.1,1.4,1.6,1.5,0.8,2.8,2.3,1.7,1.1,1.6,2.1,2.4,3.652760029,4201915971.7598596
2005.0,127808000000.0,4949,86.0,11.0,351,36.0,211,322,62,321,123,22,16,363,138,2887,,5360,278.0,11.0,1027,110.0,495,799,125,674,86,12,69,199,234,1241,,364,22,1378,146,706,1121,187,995,209,34,85,562,372,4128,0,10309,9560,,251,0,136,840,34,324,178,2157,176,5310,154,8511,111,308,0,282,2388,84,453,994,1526,249,2081,35,,559,0,418,3228,118,777,1172,3683,425,7391,189,18071,1.7,1.8,1.1,1.4,1.4,1.6,1.4,1.9,1.0,2.2,1.8,2.2,1.1,0.6,1.9,1.4,1.2,1.9,2.2,1.0,3.5,3.1,1.0,2.6,2.9,2.5,1.8,2.3,1.4,1.8,1.5,1.4,2.1,1.2,2.0,1.6,1.3,3.9,3.6,1.7,0.9,1.9,1.9,2.0,3.195960045,4084692614.3136
2006.0,148627000000.0,5207,89.0,11.0,412,33.0,176,432,70,388,135,18,24,319,166,2934,,5503,302.0,13.0,1071,108.0,468,819,134,880,94,14,57,130,214,1199,,391,24,1483,141,644,1251,204,1268,229,32,81,449,380,4133,0,10710,9649,3.0,223,0,120,882,28,301,267,2067,161,5375,222,8388,128,319,0,296,2281,78,460,1130,1515,233,1887,61,131.0,542,0,416,3163,106,761,1397,3582,394,7262,283,18037,2.3,2.3,1.9,1.6,1.5,2.5,2.5,2.3,1.8,1.1,2.6,2.0,1.7,2.5,2.6,1.0,4.3,3.6,1.5,3.2,4.1,2.7,2.4,2.1,2.6,1.9,1.8,2.2,1.5,2.8,2.9,2.4,2.9,3.7,4.8,3.1,3.0,3.0,3.3,2.5,2.4,2.9,2.2,2.6,2.859119892,4249424121.8828397
2007.0,180942000000.0,5823,73.0,28.0,441,28.0,260,493,84,427,144,21,19,303,131,3371,0.0,5670,189.0,41.0,980,141.0,575,894,123,827,83,15,67,190,208,1337,0.0,262,69,1421,169,835,1387,207,1254,227,36,86,493,339,4708,0,11493,9754,3.0,298,0,136,1059,39,311,407,1862,176,5262,201,8799,156,409,0,400,2294,82,453,1517,1415,274,1742,57,159.0,707,0,536,3353,121,764,1924,3277,450,7004,258,18553,2.6,2.2,2.1,1.9,1.9,2.5,2.0,2.2,2.1,1.5,3.0,2.4,2.3,2.8,2.9,2.2,4.2,3.6,1.7,3.2,4.2,2.9,2.7,2.6,2.8,2.6,2.6,2.8,2.1,3.5,3.4,3.5,3.6,4.2,6.8,2.2,2.9,3.5,3.8,2.8,3.3,3.1,2.8,3.0,2.946749926,5331908251.10292
2008.0,193617000000.0,5736,53.0,31.0,478,32.0,295,505,94,469,131,18,10,308,148,3150,14.0,6036,172.0,50.0,1203,132.0,536,960,115,796,96,17,77,210,243,1386,43.0,225,81,1681,164,831,1465,209,1265,227,35,87,518,391,4536,57,11772,10659,9.0,382,8,117,1108,43,409,408,2050,175,5728,222,9682,175,582,67,318,2341,78,568,1432,1720,293,2035,73,184.0,964,75,435,3449,121,977,1840,3770,468,7763,295,20341,2.4,1.6,1.7,1.6,1.7,1.7,1.3,1.7,1.5,1.6,2.8,2.0,1.8,2.6,2.0,3.1,1.5,2.6,1.4,3.0,3.1,3.0,2.8,2.3,3.3,1.9,1.7,3.7,1.9,2.8,2.5,3.0,3.0,4.0,6.2,2.5,2.9,4.1,5.1,2.6,2.8,2.8,2.3,2.8,2.764600039,5352735657.51063
2009.0,194150000000.0,6004,67.0,47.0,547,36.0,346,630,92,574,122,12,22,370,135,2991,13.0,6254,281.0,88.0,1423,128.0,596,857,118,946,97,19,107,162,179,1217,36.0,348,135,1970,164,942,1487,210,1520,219,31,129,532,314,4208,49,12258,11375,4.0,428,57,132,1446,47,452,370,2078,233,5908,220,9784,173,576,96,303,2597,67,592,1447,1525,308,2008,92,177.0,1004,153,435,4043,114,1044,1817,3603,541,7916,312,21159,1.8,1.2,1.4,1.1,1.3,1.0,1.1,1.4,1.6,0.8,2.3,1.6,1.3,2.1,1.3,1.6,0.6,2.4,1.0,2.4,2.4,2.4,1.6,1.5,1.7,1.3,1.1,2.4,1.9,1.5,1.3,1.4,2.0,2.6,4.5,1.4,1.8,4.2,5.1,2.7,3.7,2.4,1.9,2.3,3.010129929,5844167257.153501
2010.0,239808000000.0,6496,67.0,84.0,703,30.0,380,674,139,568,134,16,39,419,97,3117,29.0,6300,262.0,121.0,1474,147.0,554,859,90,1091,94,25,196,154,178,1020,35.0,329,205,2177,177,934,1533,229,1659,228,41,235,573,275,4137,64,12796,11595,7.0,489,92,156,1662,35,407,380,2075,221,5826,245,10619,167,703,183,325,3034,90,663,1619,1493,318,1917,107,174.0,1192,275,481,4696,125,1070,1999,3568,539,7743,352,22214,2.5,2.1,2.3,1.9,1.6,1.8,2.8,1.6,2.4,1.2,3.0,2.4,2.0,3.3,2.5,3.3,1.6,3.3,2.0,4.1,4.3,4.0,2.7,2.5,2.9,2.4,2.3,3.1,2.8,1.9,2.2,1.3,2.6,3.4,5.4,2.4,2.5,3.9,4.5,2.9,3.5,3.5,2.2,2.9,3.080440044,7387141660.71552
2011.0,279357000000.0,6428,103.0,84.0,708,41.0,332,633,121,619,136,16,42,388,121,3060,24.0,7281,303.0,132.0,1772,133.0,507,944,208,1217,119,26,213,195,247,1215,50.0,406,216,2480,174,839,1577,329,1836,255,42,255,583,368,4275,74,13709,12455,5.0,573,151,163,2080,46,446,514,2163,268,5816,230,11314,200,770,278,348,3364,68,732,1678,1610,297,1861,108,205.0,1343,429,511,5444,114,1178,2192,3773,565,7677,338,23769,2.8,2.3,3.0,1.9,1.6,2.1,2.6,2.2,2.0,1.5,3.3,2.6,2.1,3.7,2.6,4.0,1.3,4.1,1.7,4.1,4.7,4.0,2.9,3.0,2.8,2.5,2.4,3.2,3.5,2.2,2.1,1.7,3.3,4.5,6.9,3.3,3.1,4.3,4.6,3.6,4.7,3.6,3.1,3.0,3.030770063,8466668324.89491
