Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
Males Polytechnic Grad,12200,13276,12909,12268,12457,13359,13693,13632,13602,13213,12819,12455,11595,11375,10659,9754,9649,9560,9537,8556,8914,8545,8182,8111,7748,7153,6877,6206,6057,5502
  Males: Education Polytechnic Grad,59,62,55,36,25,13,30,20,21,12,16,5,7,4,9,3,3,-,4,5,3,0,0,0,0,0,0,0,0,0
  Males: Applied Arts Polytechnic Grad,666,746,692,646,669,682,759,731,725,783,704,573,489,428,382,298,223,251,243,254,234,213,191,140,96,93,101,66,46,27
  Males: Humanities & Social Sciences Polytechnic Grad,70,74,89,83,77,90,92,86,315,258,188,151,92,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Males: Mass Communication & Information Science Polytechnic Grad,143,169,159,154,145,179,203,174,162,175,201,163,156,132,117,136,120,136,93,66,45,54,53,59,56,45,33,27,15,11
  Males: Business & Administration Polytechnic Grad,1816,2033,2082,1929,1921,2167,2273,2171,2306,2118,2098,2080,1662,1446,1108,1059,882,840,896,946,904,861,832,884,861,769,690,631,482,407
  Males: Legal Studies Polytechnic Grad,61,60,60,46,60,63,66,59,62,66,43,46,35,47,43,39,28,34,23,38,54,19,29,19,20,6,19,0,0,0
  Males: Science & Related Technologies Polytechnic Grad,455,567,518,501,551,589,590,577,555,547,546,446,407,452,409,311,301,324,214,129,121,135,113,112,95,91,83,57,61,142
  Males: Health Sciences Polytechnic Grad,715,692,620,610,670,696,661,622,594,612,576,514,380,370,408,407,267,178,127,100,92,126,83,85,74,70,35,35,0,0
  Males: Information Technology Polytechnic Grad,1920,2083,1906,1746,1773,2004,2051,2156,2133,2062,2096,2163,2075,2078,2050,1862,2067,2157,1974,1603,1455,1193,904,795,581,522,451,269,223,223
"  Males: Architecture, Building & Real Estate Polytechnic Grad",355,363,287,320,345,380,323,319,272,277,241,268,221,233,175,176,161,176,158,171,225,282,308,283,325,314,227,232,157,222
