Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Bachelor of Arts,Faculty of Arts & Social Sciences,0.738,2763,2700,2405,3000,NUS,2011,No,NUS GES 2011,Bachelor of Arts | NUS 2011,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.873,3151,3200,2800,3500,NUS,2011,No,NUS GES 2011,Bachelor of Arts (Hons) | NUS 2011,Arts
Bachelor of Social Sciences (Hons),Faculty of Arts & Social Sciences,0.849,3088,3000,2700,3350,NUS,2011,No,NUS GES 2011,Bachelor of Social Sciences (Hons) | NUS 2011,Social Sciences (Hons)
Bachelor of Dental Surgery,Faculty of Dentistry,1,3136,3000,3000,3400,NUS,2011,No,NUS GES 2011,Bachelor of Dental Surgery | NUS 2011,Dental Surgery
Bachelor of Engineering (Bioengineering),Faculty of Engineering,0.795,3334,3250,2900,3800,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Bioengineering) | NUS 2011,Bioengineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.839,3266,3184,3000,3515,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Chemical Engineering) | NUS 2011,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,1,3126,3000,2900,3200,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Civil Engineering) | NUS 2011,Civil Engineering
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.951,3367,3000,2900,3980,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Computer Engineering) | NUS 2011,Computer Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.884,3327,3100,2900,3600,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Electrical Engineering) | NUS 2011,Electrical Engineering
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.783,3203,3170,2950,3250,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Engineering Science) | NUS 2011,Engineering Science
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.884,3215,3000,2800,3300,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Environmental Engineering) | NUS 2011,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.911,3539,3500,2900,3950,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2011,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.917,3255,3000,2700,3500,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Materials Science & Engineering) | NUS 2011,Materials Science & Engineering
